Title,Publisher,Author,Year
"Pitch Perfect: Communicating with Traditional and Social Media for Scholars, Researchers, and Academic Leaders","<a href=""/s/?q=Stylus+Publishing"" title=""Publisher"">Stylus Publishing</a>",William Tyson,2010
Corporate Diversity Communication Strategy: An Insight Into American MNCs’ Online Communities And Social Media Engagement,"<a href=""/s/?q=Palgrave+Macmillan"" title=""Publisher"">Palgrave Macmillan</a>",Roxana D. Maiorescu-Murphy,2020
"''Power of visual storytelling: how to use visuals, videos, and social media to market your brand''","<a href=""/s/?q=McGraw-Hill+Global+Education"" title=""Publisher"">McGraw-Hill Global Education</a>","Gioglio, Jessica, Walter, Ekaterina",2014
Social Media Marketing: Strategie E Tecniche Per Aziende B2B E B2C,"<a href=""/s/?q=HOEPLI+EDITORE"" title=""Publisher"">HOEPLI EDITORE</a>","Guido Di Fraia [Fraia, Guido Di]",2015
The media and modernity: a social theory of the media,"<a href=""/s/?q=Polity+Press"" title=""Publisher"">Polity Press</a>",John Brookshire Thompson,1995
Internet: Technik – Nutzung – Social Media,"<a href=""/s/?q=Springer+Berlin+Heidelberg%3BSpringer+Vieweg"" title=""Publisher"">Springer Berlin Heidelberg;Springer Vieweg</a>","Peter Bühler, Patrick Schlaich, Dominik Sinner",2019
"Social Media, Politics and the State: Protests, Revolutions, Riots, Crime and Policing in the Age of Facebook, Twitter and YouTube","<a href=""/s/?q=Routledge"" title=""Publisher"">Routledge</a>","Daniel Trottier, Christian Fuchs",2014
Researching language and social media: a student guide,"<a href=""/s/?q=Routledge"" title=""Publisher"">Routledge</a>","Barton, David, Page, Ruth E., Unger, Johann Wolgang",2014
"Social media, organizational identity and public relations: the challenge of authenticity","<a href=""/s/?q=Routledge"" title=""Publisher"">Routledge</a>","Thurlow, Amy",2019
The Teen’s Guide to Social Media... and Mobile Devices: 21 Tips to Wise Posting in an Insecure World,"<a href=""/s/?q=Shiloh+Run+Press"" title=""Publisher"">Shiloh Run Press</a>",Jonathan McKee,2017
Social Media Mining: An Introduction,"<a href=""/s/?q=CUP"" title=""Publisher"">CUP</a>","Zafarani R., Abbasi M.A., Liu H.",2014
The Representation of Islam and Muslims in the Media,"<a href=""/s/?q=School+of+Political+and+Social+Inquiry+of+Monash+University"" title=""Publisher"">School of Political and Social Inquiry of Monash University</a>","Shahram Akbarzadeh, Bianca Smith",2005
Communication in History: Stone Age Symbols to Social Media,"<a href=""/s/?q=Routledge%2C+Taylor+%26+Francis"" title=""Publisher"">Routledge, Taylor &amp; Francis</a>","Peter Urquhart, Paul Heyer",2018
American Girls: Social Media and the Secret Lives of Teenagers,"<a href=""/s/?q=Knopf+Doubleday+Publishing+Group"" title=""Publisher"">Knopf Doubleday Publishing Group</a>","Sales, Nancy Jo",2016
The Simplified Guide to Social Media Marketing for Novices and Dummies,"<a href=""/s/?q=Independently+published"" title=""Publisher"">Independently published</a>","Layla Wood [Wood, Layla]",2021
Curso de Marketing Digital (SOCIAL MEDIA) (Spanish Edition),"<a href=""/s/?q=ANAYA+MULTIMEDIA"" title=""Publisher"">ANAYA MULTIMEDIA</a>",Miguel Ángel Florido,2019
Deceitful Media: Artificial Intelligence and Social Life after the Turing Test,"<a href=""/s/?q=Oxford+University+Press"" title=""Publisher"">Oxford University Press</a>",Simone Natale,2021
"SOCIAL MEDIA MARKETING AND ONLINE BUSINESS 2021: Beyond 2020! Rise to the top of the Main eCommerce Platforms Using the Most Unscrupulous and Winning Tactics of Instagram, YouTube & Facebook.",nan,ALLAN KANE,2020
"Filling the Void: Emotion, Capitalism and Social Media","<a href=""/s/?q=Repeater"" title=""Publisher"">Repeater</a>",Marcus Gilroy-Ware,2017
"No B.S. Guide to Direct Response Social Media Marketing: The Ultimate No Holds Barred Guide to Producing Measurable, Monetizable Results with Social Media Marketing","<a href=""/s/?q=Entrepreneur+Press"" title=""Publisher"">Entrepreneur Press</a>","Dan Kennedy, Kim Walsh-Phillips",2015
"The Dark Side of Social Media: Psychological, Managerial, and Societal Perspectives","<a href=""/s/?q=Academic+Press"" title=""Publisher"">Academic Press</a>",James M. Honeycutt,2019
"Reverse Engineering Social Media: Software, Culture, and Political Economy in New Media Capitalism","<a href=""/s/?q=Temple+University+Press"" title=""Publisher"">Temple University Press</a>",Robert W Gehl,2014
42 Rules for B2B Social Media Marketing. Learn Proven Strategies and Field-Tested Tactics through Real World Success...,"<a href=""/s/?q=Happy+About%3BSuper+Star+Press"" title=""Publisher"">Happy About;Super Star Press</a>","Michael Procopio, Peter Spielvogel, Natascha Thomson",2012
"Making Isometric Social Real-Time Games with HTML5, CSS3, and Javascript","<a href=""/s/?q=O%27Reilly+Media"" title=""Publisher"">O'Reilly Media</a>",Mario Andres Pagella,2011
"Praxiswissen Online-Marketing: Affiliate- und E-Mail-Marketing, Suchmaschinenmarketing, Online-Werbung, Social Media, Facebook-Werbung","<a href=""/s/?q=Gabler+Verlag"" title=""Publisher"">Gabler Verlag</a>",Erwin Lammenett (auth.),2017
Social Media for Business Growth: The Essential Guide to Social Media for Businesses (360 Degree Marketing for Business Growth),"<a href=""/s/?q=%23PrB.rating%230.0"" title=""Publisher"">#PrB.rating#0.0</a>","Scott Jones [Jones, Scott]",2021
"SOCIAL MEDIA MARKETING: Guida alle strategie di vendita per online marketing su Facebook e Instagram per imparare a promuovere prodotti, infoprodotti e ... products su Internet. (Italian Edition)","<a href=""/s/?q=amazon"" title=""Publisher"">amazon</a>","Miller, Anna S.",italian
Secrets to Selling Books on Social Media: Social Media Marketing for Writers - How to Get Readers to Buy Your Book,"<a href=""/s/?q=Grace+House+Press"" title=""Publisher"">Grace House Press</a>",Bethany Atazadeh & Mandi Lynn,2021
How to Become Social Media Manager,nan,JOHN JOHNSON,2021
Protecting Children Online? Cyberbullying Policies Of Social Media Companies,"<a href=""/s/?q=The+MIT+Press"" title=""Publisher"">The MIT Press</a>","Tijana Milosevic, Sonia Livingstone",2017
"Measure What Matters: Online Tools For Understanding Customers, Social Media, Engagement, and Key Relationships","<a href=""/s/?q=Wiley"" title=""Publisher"">Wiley</a>",Katie Delahaye Paine,2011
"Internet Marketing: Millionaires In The Making: Using Sh Engine Optimization, Social Media, And More To Create An Online Business","<a href=""/s/?q=CT+Publishing"" title=""Publisher"">CT Publishing</a>","Roland, Daniel",2015
Media And Social Representations Of Otherness: Psycho-Social-Cultural Implications,"<a href=""/s/?q=Springer"" title=""Publisher"">Springer</a>","Terri Mannarini, Giuseppe A. Veltri, Sergio Salvatore",2020
Influencer: Building Your Personal Brand in the Age of Social Media,"<a href=""/s/?q=Citadel+Press"" title=""Publisher"">Citadel Press</a>",Brittany Hennessy,2018
Social Media for Business: 101 Ways to Grow Your Business Without Wasting Your Time,nan,"Susan Sweeney CA  CSP  HoF, Randall Craig CFA  MBA  CMC",2010
"Social Media: Become a Social Media Marketing Master: How to Easily Start Marketing on Facebook, Twitter, Instagram, YouTube & More",nan,"Jenkins, Alex",2016
"Inbound marketing: get found using Google, social media, and blogs","<a href=""/s/?q=John+Wiley+%26+Sons"" title=""Publisher"">John Wiley &amp; Sons</a>","Halligan, Brian, Shah, Dharmesh",2014
Social Media Marketing: The Next Generation of Business Engagement,"<a href=""/s/?q=Sybex"" title=""Publisher"">Sybex</a>","Dave Evans, Susan Bratton, Jake McKee",2010
Social Media and the Internet,"<a href=""/s/?q=Rourke+Publishing%3BRourke+Educational+Media"" title=""Publisher"">Rourke Publishing;Rourke Educational Media</a>",Meg Greve,2013
"Gadget Consciousness: Collective Thought, Will and Action in the Age of Social Media","<a href=""/s/?q=Pluto+Press"" title=""Publisher"">Pluto Press</a>",Joss Hands,2019
No B.S. Guide to Direct Response Social Media Marketing,"<a href=""/s/?q=Entrepreneur+Press"" title=""Publisher"">Entrepreneur Press</a>",Dan S. Kennedy,2020
Social Media in Politics: Case Studies on the Political Power of Social Media,"<a href=""/s/?q=Springer+International+Publishing"" title=""Publisher"">Springer International Publishing</a>","Bogdan Pătruţ, Monica Pătruţ (eds.)",2014
"The Power of Visual Storytelling: How to Use Visuals, Videos, and Social Media to Market Your Brand",nan,"Ekaterina Walter, Jessica Gioglio",2014
"Postfeminist Digital Cultures: Femininity, Social Media, and Self-Representation","<a href=""/s/?q=Palgrave+Macmillan+US"" title=""Publisher"">Palgrave Macmillan US</a>",Amy Shields Dobson (auth.),2015
Digital Influence Warfare in the Age of Social Media (Praeger Security International),"<a href=""/s/?q=Praeger+Publishers+Inc"" title=""Publisher"">Praeger Publishers Inc</a>",James J. F. Forest,2021
"Social Evolution, Political Psychology, and the Media in Democracy","<a href=""/s/?q=Palgrave+Macmillan"" title=""Publisher"">Palgrave Macmillan</a>","Beattie, Peter",2019
A Woman Like Her: The Story Behind the Honor Killing of a Social Media Star,"<a href=""/s/?q=Melville+House"" title=""Publisher"">Melville House</a>",Sanam Maher,2020
Customer Service: New Rules for a Social Media World (Que Biz-Tech),"<a href=""/s/?q=Que"" title=""Publisher"">Que</a>",Peter Shankman,2010
Graph-based social media analysis,"<a href=""/s/?q=CRC+Press"" title=""Publisher"">CRC Press</a>","Pitas, Ioannis",2016
ASWB Masters Exam Secrets Study Guide: ASWB Test Review for the Association of Social Work Boards Exam,"<a href=""/s/?q=Mometrix+Media+LLC"" title=""Publisher"">Mometrix Media LLC</a>",ASWB Exam Secrets Test Prep Team,2014
Social Media e Sentiment Analysis: L’evoluzione dei fenomeni sociali attraverso la Rete,"<a href=""/s/?q=Springer+Milan"" title=""Publisher"">Springer Milan</a>","Andrea Ceron, Luigi Curini, Stefano M. Iacus (auth.)",2014
"LA BIBBIA DEL SEO: Guida pratica all'ottimizzazione strategica per Google per ottenere traffico con Web Marketing, Social Media, Copywriting Online, Ecommerce ... (Online Marketing Vol. 1) (Italian Edition)","<a href=""/s/?q=amazon"" title=""Publisher"">amazon</a>","Padovesi, Luigi",italian
Curso Especialista en publicidad digital y embudos de venta (SOCIAL MEDIA) (Spanish Edition),"<a href=""/s/?q=ANAYA+MULTIMEDIA"" title=""Publisher"">ANAYA MULTIMEDIA</a>",Miguel Ángel Florido & Rubén Máñez & Cova Díaz & Carlos Pinzón & Antonio Ortega,2021
Application of Social Media in Crisis Management: Advanced Sciences and Technologies for Security Applications,"<a href=""/s/?q=Springer+International+Publishing"" title=""Publisher"">Springer International Publishing</a>","Babak Akhgar, Andrew Staniforth, David Waddington (eds.)",2017
Image Testimonies Witnessing In Times Of Social Media,"<a href=""/s/?q=Routledge%2F"" title=""Publisher"">Routledge/</a>","Kerstin Schankweiler, Verena Straub, Tobias Wendl",2019
Visualizing the Data City: Social Media as a Source of Knowledge for Urban Planning and Management,"<a href=""/s/?q=Springer+International+Publishing"" title=""Publisher"">Springer International Publishing</a>","Paolo Ciuccarelli, Giorgia Lupi, Luca Simeone (auth.)",2014
Getting a Social Media Job For Dummies,"<a href=""/s/?q=Wiley"" title=""Publisher"">Wiley</a>","Brooks Briz, David Rose",2015
Social Media Law in a Nutshell,"<a href=""/s/?q=West+Academic"" title=""Publisher"">West Academic</a>","Ryan Garcia, Thaddeus A Hoffmeister",2017
Personal Relationships and Intimacy in the Age of Social Media,"<a href=""/s/?q=Springer+International+Publishing%2CPalgrave+Pivot"" title=""Publisher"">Springer International Publishing,Palgrave Pivot</a>",Cristina Miguel,2018
Social Media Marketing: Game Theory and the Emergence of Collaboration,"<a href=""/s/?q=Springer-Verlag+Berlin+Heidelberg"" title=""Publisher"">Springer-Verlag Berlin Heidelberg</a>",Eric Anderson (auth.),2010
Subjective Well-Being and Social Media,"<a href=""/s/?q=Chapman+and+Hall%2FCRC"" title=""Publisher"">Chapman and Hall/CRC</a>",S.M. Iacus & G. Porro,2022
The Routledge companion to social media and politics,"<a href=""/s/?q=Routledge"" title=""Publisher"">Routledge</a>",Axel Bruns (editor),2018
Mobile and Social Media Journalism: A Practical Guide for Multimedia Journalism,"<a href=""/s/?q=Routledge"" title=""Publisher"">Routledge</a>",Anthony Adornato,2021
Maximize Your Social: A One-Stop Guide to Building a Social Media Strategy for Marketing and Business Success,"<a href=""/s/?q=Wiley"" title=""Publisher"">Wiley</a>",Neal Schaffer,2013
Building an information security awareness program : defending against social engineering hacks,"<a href=""/s/?q=Syngress+Media+Inc%2C+Syngress%2C+Elsevier+Inc"" title=""Publisher"">Syngress Media Inc, Syngress, Elsevier Inc</a>",Bill Gardner,2014
The Complete Social Media Community Manager's Guide: Essential Tools and Tactics for Business Success,"<a href=""/s/?q=Sybex"" title=""Publisher"">Sybex</a>","Marty Weintraub, Lauren Litwinka",2013
Political Turbulence: How Social Media Shape Collective Action,"<a href=""/s/?q=Princeton+University+Press"" title=""Publisher"">Princeton University Press</a>","Helen Margetts, Peter John, Scott Hale, Taha Yasseri",2015
"Text und Konzeption im Content Marketing : Alle wichtigen Grundlagen für Print, Web, Corporate Blogs und Social Media","<a href=""/s/?q=Springer+Fachmedien+Wiesbaden"" title=""Publisher"">Springer Fachmedien Wiesbaden</a>",Sandro Abbate (auth.),2017
Social Media and e-Diplomacy in China: Scrutinizing the Power of Weibo,"<a href=""/s/?q=Palgrave+Pivot%2C+New+York"" title=""Publisher"">Palgrave Pivot, New York</a>",Ying Jiang (auth.),2017
"Inbound Marketing: Get Found Using Google, Social Media, and Blogs (New Rules Social Media Series)","<a href=""/s/?q=Wiley"" title=""Publisher"">Wiley</a>","Brian Halligan, Dharmesh Shah",2009
Why Social Media is Ruining Your Life,"<a href=""/s/?q=Cassell+Illustrated"" title=""Publisher"">Cassell Illustrated</a>",Katherine Ormerod,2018
Advertising 2.0: Social Media Marketing in a Web 2.0 World,"<a href=""/s/?q=Praeger"" title=""Publisher"">Praeger</a>",Tracy L. Tuten,2008
"Follow me! Erfolgreiches Social Media Marketing mit Facebook, Instagram, LinkedIn und Co.","<a href=""/s/?q=Rheinwerk+Verlag"" title=""Publisher"">Rheinwerk Verlag</a>","Karim-Patrick Bannour, Anne Grabs, Elisabeth Vogl",2021
Working the Crowd: Social Media Marketing for Business,"<a href=""/s/?q=British+Informatics+Society+Ltd"" title=""Publisher"">British Informatics Society Ltd</a>",Eileen Brown,2010
Branding Yourself: How to Use Social Media to Invent or Reinvent Yourself,"<a href=""/s/?q=Que"" title=""Publisher"">Que</a>","Erik Deckers, Kyle Lacy",2010
From Corporate to Social Media: Critical Perspectives on Corporate Social Responsibility in Media and Communication Industries,"<a href=""/s/?q=Routledge"" title=""Publisher"">Routledge</a>",Marisol Sandoval,2014
Social media warfare : equal weapons for all,"<a href=""/s/?q=CRC%2FTaylor+%26+Francis%3B+Auerbach+Publications"" title=""Publisher"">CRC/Taylor &amp; Francis; Auerbach Publications</a>","Erbschloe, Michael",2017
Graph-based Social Media Analysis; Volume in Chapman& Hall-CRC Data Mining and Knowledge Discovery Series – CRC-Taylor & Francis-Chapman & Hall,nan,"Pitas I., (Ed.), (2016)",english
"New Feminisms in South Asian Social Media, Film, and Literature: Disrupting the Discourse","<a href=""/s/?q=Routledge"" title=""Publisher"">Routledge</a>","Sonora Jha (editor), Alka Kurian (editor)",2017
The Politics of Social Media Manipulation,"<a href=""/s/?q=Amsterdam+University+Press"" title=""Publisher"">Amsterdam University Press</a>",Richard Rogers and Sabine Niederer,2020
Big Data and Social Media Analytics: Trending Applications,"<a href=""/s/?q=Springer"" title=""Publisher"">Springer</a>","Mehmet Çakırtaş, Mehmet Kemal Ozdemir",2021
"Social Media Marketing, 3rd Edition (Quickstudy Business)","<a href=""/s/?q=Quickstudy+Reference+Guides"" title=""Publisher"">Quickstudy Reference Guides</a>",Paul & Sarah Edwards,2021
"Optimize: How to Attract and Engage More Customers by Integrating SEO, Social Media, and Content Marketing","<a href=""/s/?q=Wiley"" title=""Publisher"">Wiley</a>",Lee Odden,2012
"Sport Teams, Fans, and Twitter: The Influence of Social Media on Relationships and Branding","<a href=""/s/?q=Lexington+Books"" title=""Publisher"">Lexington Books</a>",Brandi Watkins,2018
"Programming Social Applications: Building Viral Experiences with OpenSocial, OAuth, OpenID, and Distributed Web Frameworks","<a href=""/s/?q=O%27Reilly+Media"" title=""Publisher"">O'Reilly Media</a>",Jonathan LeBlanc,2011
Die Geheimnisse erfolgreichen YouTube-Marketings: Von YouTubern lernen und Social Media Chancen nutzen,"<a href=""/s/?q=Springer+Berlin+Heidelberg"" title=""Publisher"">Springer Berlin Heidelberg</a>","Marc Oliver Opresnik, Oguz Yilmaz (auth.)",2016
"Virtual and Augmented Reality, Simulation and Serious Games for Education (Gaming Media and Social Effects)","<a href=""/s/?q=Springer"" title=""Publisher"">Springer</a>","Yiyu Cai (editor), Wouter van Joolingen (editor), Koen Veermans (editor)",2021
Mastering Social Media Mining with R: Extract valuable data from your social media sites and make better business decisions using R,"<a href=""/s/?q=Packt+Publishing"" title=""Publisher"">Packt Publishing</a>","Sharan Kumar Ravindran, Vikram Garg",2015
The End of Forgetting: Growing Up with Social Media,"<a href=""/s/?q=Harvard+University+Press"" title=""Publisher"">Harvard University Press</a>",Kate Eichhorn,2019
"Social Media Marketing when you have NO CLUE!: Youtube, Instagram, Pinterest, Twitter, Facebook (Influencer Fast Track Series 5)",nan,"Gundi Gabrielle [Gabrielle, Gundi]",2017
Ultimate Guide to Social Media Marketing,"<a href=""/s/?q=Entrepreneur+Press"" title=""Publisher"">Entrepreneur Press</a>",Eric Butow,2020
Do SEO content marketing competitor research PPC and social media marketing from just one platform,"<a href=""/s/?q=semrush+"" title=""Publisher"">semrush </a>",semrush,2020
Social Media Engagement For Dummies,"<a href=""/s/?q=For+Dummies"" title=""Publisher"">For Dummies</a>","Aliza Sherman, Danielle Elliott Smith",2013
The citizen marketer : promoting political opinion in the social media age,"<a href=""/s/?q=Oxford+University+Press"" title=""Publisher"">Oxford University Press</a>","Penney, Joel",2017
"Zehn Gründe, warum du deine Social Media Accounts sofort löschen musst (German Edition)",nan,Jaron Lanier,2018
Influencer: Building Your Personal Brand in the Age of Social Media,"<a href=""/s/?q=Citadel+Press"" title=""Publisher"">Citadel Press</a>",Brittany Hennessy,2018
Social Media as a Space for Peace Education: The Pedagogic Potential of Online Networks,"<a href=""/s/?q=Palgrave+Macmillan"" title=""Publisher"">Palgrave Macmillan</a>","M. Ayaz Naseem, Adeela Arshad-Ayaz",2020
"How to Make Money Online 7 in 1 Box Set: Make Money Online, Social Media, Instagram, Etsy, Amazon FBA, Habit Stacking Project and Google Drive","<a href=""/s/?q=UNKNOWN"" title=""Publisher"">UNKNOWN</a>","Hunter, Frank & Jones, David & Jones, Olivia & Brown, Donald & Coleman, Tyler & Robinson, Noah",2016
"History, Disrupted: How Social Media and the World Wide Web Have Changed the Past","<a href=""/s/?q=Palgrave+Macmillan"" title=""Publisher"">Palgrave Macmillan</a>",Jason Steinhauer,2021
The Technology of Nonviolence: Social Media and Violence Prevention,"<a href=""/s/?q=The+MIT+Press"" title=""Publisher"">The MIT Press</a>","Joseph G. Bock, John Paul Lederach",2012
"50 Digital Team-Building Games. Fast, Fun Meeting Openers, Group Activities and Adventures using Social Media,...","<a href=""/s/?q=John+Wiley+%26+Sons%3BWiley"" title=""Publisher"">John Wiley &amp; Sons;Wiley</a>",John Chen,2012
"2011 Social Media Directory: The Ultimate Guide to Facebook, Twitter, and LinkedIn Resources","<a href=""/s/?q=Que+Publishing"" title=""Publisher"">Que Publishing</a>",Jeffery A. Riley,2010
Der Social-Media-Zyklus: Schritt für Schritt zum systematischen Social-Media-Management im Unternehmen,"<a href=""/s/?q=Springer+Fachmedien+Wiesbaden%2CSpringer+Gabler"" title=""Publisher"">Springer Fachmedien Wiesbaden,Springer Gabler</a>",Alexander Decker,2019
The Public and Their Platforms: Public Sociology in an Era of Social Media,"<a href=""/s/?q=Bristol+University+Press"" title=""Publisher"">Bristol University Press</a>",Mark Carrigan and Lambros Fatsis,2021
Abenteuer Informatik: IT zum Anfassen für alle von 9 bis 99 – vom Navi bis Social Media,"<a href=""/s/?q=Springer-Verlag+Berlin+Heidelberg"" title=""Publisher"">Springer-Verlag Berlin Heidelberg</a>",Jens Gallenbacher (auth.),2017
"Mining the Social Web: Analyzing Data from Facebook, Twitter, LinkedIn, and Other Social Media Sites","<a href=""/s/?q=O%27Reilly+Media"" title=""Publisher"">O'Reilly Media</a>",Matthew A. Russell,2011
Critical Perspectives on Social Media and Protest: Between Control and Emancipation,"<a href=""/s/?q=Rowman+%26+Littlefield+International"" title=""Publisher"">Rowman &amp; Littlefield International</a>","Lina Dencik, Oliver Leistert",2015
"Social Media Law for Business: A Practical Guide for Using Facebook, Twitter, Google +, and Blogs Without Stepping on Legal Land Mines","<a href=""/s/?q=McGraw-Hill"" title=""Publisher"">McGraw-Hill</a>",Glen Gilmore,2015
"The New Rules of Marketing & PR : How to Use Social Media, Online Video, Mobile Applications, Blogs, News Releases, and Viral Marketing to Reach Buyers Directly","<a href=""/s/?q=John+Wiley+%26+Sons"" title=""Publisher"">John Wiley &amp; Sons</a>",David Meerman Scott,2011
L'Histoire est une littérature contemporaine . Manifeste pour les sciences sociales: Manifeste pour les sciences sociales,"<a href=""/s/?q=M%C3%A9dia+Diffusion"" title=""Publisher"">Média Diffusion</a>",Ivan Jablonka,2014
Digital Dilemmas: Exploring Social Media Ethics In Organizations,"<a href=""/s/?q=Palgrave+Macmillan"" title=""Publisher"">Palgrave Macmillan</a>",Øyvind Kvalnes,2020
"Wanghong as Social Media Entertainment in China (Palgrave Studies in Globalization, Culture and Society)","<a href=""/s/?q=Palgrave+Macmillan"" title=""Publisher"">Palgrave Macmillan</a>","David Craig, Jian Lin, Stuart Cunningham",2021
Digital Activism in the Social Media Era: Critical Reflections on Emerging Trends in Sub-Saharan Africa,"<a href=""/s/?q=Palgrave+Macmillan"" title=""Publisher"">Palgrave Macmillan</a>",Bruce Mutsvairo (eds.),2016
Influencer-Marketing: Informationspflichten bei Werbung durch Meinungsführer in Social Media,"<a href=""/s/?q=Springer+Fachmedien+Wiesbaden"" title=""Publisher"">Springer Fachmedien Wiesbaden</a>",Peter J. Fries,2019
"The Social Media Bible: Tactics, Tools, and Strategies for Business Success","<a href=""/s/?q=Wiley"" title=""Publisher"">Wiley</a>","Lon Safko, David K. Brake",2009
Social Media and Local Governments: Theory and Practice,"<a href=""/s/?q=Springer+International+Publishing"" title=""Publisher"">Springer International Publishing</a>",Mehmet Zahid Sobaci (eds.),2016
New Money: How Payment Became Social Media,"<a href=""/s/?q=Yale+University+Press"" title=""Publisher"">Yale University Press</a>",Lana Swartz,2020
"Make Money Online: Fiverr: Complete Step-by-Step Guide to Make a Full Time Income! (How To Make Money Online, Quit Your Job, Entrepreneur, Internet Marketing, Social Media Marketing, Passive Income)",nan,"Andrew Flynn [Flynn, Andrew]",2016
Social Media Campaigns: Strategies for Public Relations and Marketing,"<a href=""/s/?q=Routledge"" title=""Publisher"">Routledge</a>",Carolyn Mae Kim,2020
Mastering social media mining with python : acquire and analyze data from all corners of the social web with Python,"<a href=""/s/?q=Packt+Publishing"" title=""Publisher"">Packt Publishing</a>",Marco Bonzanini,2016
B2B-Online-Marketing und Social Media: Ein Praxisleitfaden,"<a href=""/s/?q=Gabler+Verlag"" title=""Publisher"">Gabler Verlag</a>","Ralf T. Kreutzer, Andrea Rumler, Benjamin Wille-Baumkauff (auth.)",2015
The Linked Photographers' Guide to Online Marketing and Social Media,nan,"Lindsay Renee Adler, Rosh Sillars",2010
Leave Your Mark: Land Your Dream Job. Kill It in Your Career. Rock Social Media.,"<a href=""/s/?q=Grand+Central+Publishing"" title=""Publisher"">Grand Central Publishing</a>","Kerpen, Dave, Licht, Aliza",2018
RussiaGate and Propaganda: Disinformation in the Age of Social Media,"<a href=""/s/?q=Routledge"" title=""Publisher"">Routledge</a>",Oliver Boyd-Barrett,2019
Digital Trust: Social Media Strategies to Increase Trust and Engage Customers,"<a href=""/s/?q=Bloomsbury+Business"" title=""Publisher"">Bloomsbury Business</a>",Barry Connolly,2020
Human-Centered Social Media Analytics,"<a href=""/s/?q=Springer+International+Publishing"" title=""Publisher"">Springer International Publishing</a>",Yun Fu (eds.),2014
Social Media Entertainment: The New Intersection of Hollywood and Silicon Valley (Postmillennial Pop),"<a href=""/s/?q=NYU+Press"" title=""Publisher"">NYU Press</a>","Stuart Cunningham, David Craig",2019
"''Power of visual storytelling: how to use visuals, videos, and social media to market your brand''","<a href=""/s/?q=McGraw-Hill+Education"" title=""Publisher"">McGraw-Hill Education</a>","Gioglio, Jessica, Walter, Ekaterina",2014
Hallyu 2.0: The Korean Wave in the Age of Social Media,"<a href=""/s/?q=University+of+Michigan+Press"" title=""Publisher"">University of Michigan Press</a>",Sangjoon Lee and Abé Mark Nornes,2015
Unlike Us Reader: Social Media Monopolies and Their Alternatives,"<a href=""/s/?q=Institute+of+Network+Cultures"" title=""Publisher"">Institute of Network Cultures</a>",Geert Lovink and Miriam Rasch,2013
Social Media Strategy in Policing: From Cultural Intelligence to Community Policing,"<a href=""/s/?q=Springer+International+Publishing"" title=""Publisher"">Springer International Publishing</a>","Babak Akhgar, Petra Saskia Bayerl, George Leventakis",2019
Mining the Social Web,"<a href=""/s/?q=O%27Reilly+Media%2C+Inc."" title=""Publisher"">O'Reilly Media, Inc.</a>","Mikhail Klassen, Matthew A. Russell",2019
"Social Theory: After The Internet Media, Technology, And Globalization","<a href=""/s/?q=UCL+Press"" title=""Publisher"">UCL Press</a>",Ralph Schroeder,2018
Social Media Metrics: How to Measure and Optimize Your Marketing Investment (New Rules Social Media Series),"<a href=""/s/?q=Wiley"" title=""Publisher"">Wiley</a>",Jim Sterne,2010
"Emotions, Technology, and Social Media","<a href=""/s/?q=Academic+Press"" title=""Publisher"">Academic Press</a>",Sharon Tettegah,2016
Social Media for Trainers: Techniques for Enhancing and Extending Learning,"<a href=""/s/?q=Pfeiffer"" title=""Publisher"">Pfeiffer</a>",Jane Bozarth,2010
Social Media for Writers: Marketing Strategies for Building Your Audience and Selling Books,"<a href=""/s/?q=Writers+Digest+Books"" title=""Publisher"">Writers Digest Books</a>","Tee Morris, Pip Ballantine",2015
Inhuman Networks: Social Media and the Archaeology of Connection,"<a href=""/s/?q=Bloomsbury"" title=""Publisher"">Bloomsbury</a>",Grant Bollmer,2016
Share This: the Social Media Handbook for PR Professionals,"<a href=""/s/?q=Wiley"" title=""Publisher"">Wiley</a>",CIPR (Chartered Institute of Public Relations),2012
"Social Media 101: Awakening the Dinosaur: How to Use Social Media Platforms. Where, What, and How... A Beginner’s Guide",nan,"Daniel Zane Bryan [Bryan, Daniel Zane]",2021
"Designing Social Interfaces: Principles, Patterns, and Practices for Improving the User Experience","<a href=""/s/?q=O%27Reilly+Media"" title=""Publisher"">O'Reilly Media</a>","Christian Crumlish, Erin Malone",2014
Social Media Marketing: Manuale di comunicazione aziendale 2.0 (Italian Edition),"<a href=""/s/?q=Hoepli"" title=""Publisher"">Hoepli</a>","Fraia, Guido Di [Fraia, Guido Di]",2012
Tell Me About Yourself: Personal Branding and Social Media Recruiting in the Brave New Online World,"<a href=""/s/?q=Business+Expert+Press"" title=""Publisher"">Business Expert Press</a>",Stavros Papakonstantinidis,2018
"The impact of social media on the Arab uprisings: The Facebook, Twitter, and YouTube revolutions?",nan,Norris Pippa.,english
Create And Be Seen: A complete guide to Social Media Marketing,"<a href=""/s/?q=National+Library+of+South+Africa"" title=""Publisher"">National Library of South Africa</a>",Marlize Marais,2021
Putting the Public Back in Public Relations: How Social Media Is Reinventing the Aging Business of PR,"<a href=""/s/?q=FT+Press"" title=""Publisher"">FT Press</a>","Brian Solis, Deirdre Breakenridge",2009
"Business Models for the Social Mobile Cloud: Transform Your Business Using Social Media, Mobile Internet, and Cloud Computing","<a href=""/s/?q=Wiley"" title=""Publisher"">Wiley</a>",Ted Shelton(auth.),2013
